timestamp,open,high,low,close,volume
2024-01-01 09:00:00,148.100,148.150,148.050,148.120,1000
2024-01-01 09:01:00,148.120,148.180,148.100,148.150,1200
2024-01-01 09:02:00,148.150,148.200,148.130,148.180,1100
2024-01-01 09:03:00,148.180,148.220,148.160,148.200,1300
2024-01-01 09:04:00,148.200,148.250,148.190,148.230,1400
2024-01-01 09:05:00,148.230,148.280,148.210,148.260,1500
2024-01-01 09:06:00,148.260,148.300,148.240,148.280,1600
2024-01-01 09:07:00,148.280,148.320,148.260,148.300,1700
2024-01-01 09:08:00,148.300,148.350,148.280,148.320,1800
2024-01-01 09:09:00,148.320,148.370,148.300,148.340,1900
